Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Dataset,Type,Rank
Logistic Regression,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9664502164502166,Original Features,Baseline,1
Logistic Regression,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9664502164502164,,Tuned,2
SVM,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9642857142857143,Original Features,Baseline,3
Random Forest,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9534632034632036,,Tuned,4
Random Forest,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9442640692640693,Original Features,Baseline,5
SVM,0.8360655737704918,0.8,0.8571428571428571,0.8275862068965517,0.9426406926406927,,Tuned,6
Decision Tree,0.8688524590163934,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8712121212121212,,Tuned,7
Decision Tree,0.7377049180327869,0.6764705882352942,0.8214285714285714,0.7419354838709677,0.7440476190476191,Original Features,Baseline,8
